type_id,display_name,key_files,critical_dirs,analysis_domains,test_patterns,entry_points
web-app,Web Application,"next.config.*,vite.config.*,nuxt.config.*,svelte.config.*,angular.json,astro.config.*","src/,app/,pages/,components/","architecture,components,state,routing,testing,dev-setup","*.test.{ts,tsx,js,jsx},*.spec.{ts,tsx,js,jsx}","index.{ts,tsx,js,jsx},main.{ts,tsx,js,jsx},app.{ts,tsx,js,jsx}"
backend-api,Backend API,"server.js,app.js,manage.py,main.go,cmd/,Gemfile,build.gradle,pom.xml","src/,app/,api/,routes/,controllers/,services/,handlers/","architecture,api,data,testing,dev-setup","*.test.{ts,js},*_test.go,test_*.py,*_test.rb,*Test.java","server.{ts,js},app.{ts,js,py},main.{go,py,ts,js},index.{ts,js}"
full-stack,Full-Stack Application,"","client/,server/,frontend/,backend/,apps/,packages/","architecture,api,data,components,testing,dev-setup","",""
cli-tool,CLI Tool,"bin/,commander,click,cobra,clap","src/,cmd/,lib/","architecture,testing,dev-setup","*.test.{ts,js},*_test.go,test_*.py","cli.{ts,js,py},main.{go,py,ts,js,rs}"
library,Library/Package,"index.{ts,js,mjs},lib.rs,setup.py,setup.cfg","src/,lib/","architecture,api,testing,dev-setup","*.test.{ts,js},*_test.go,test_*.py,*_test.rs","index.{ts,js,mjs},lib.{rs,py},mod.rs"
mobile-app,Mobile Application,"react-native.config.*,expo,pubspec.yaml,*.xcodeproj,AndroidManifest.xml","src/,app/,lib/,screens/,components/","architecture,components,state,data,testing,dev-setup","*.test.{ts,tsx,js,jsx},*_test.dart","App.{tsx,jsx,ts,js},main.dart,index.{tsx,jsx}"
desktop-app,Desktop Application,"electron,tauri.conf.json,*.pro,CMakeLists.txt","src/,src-tauri/","architecture,components,testing,dev-setup","*.test.{ts,js},*_test.*","main.{ts,js,py,cpp},index.{ts,js}"
game,Game,"ProjectSettings/,*.godot,Cargo.toml,pygame","Assets/,src/,scripts/,scenes/","architecture,components,testing,dev-setup","*.test.*,test_*.*","main.{gd,rs,py,cs,cpp}"
data-pipeline,Data Pipeline,"airflow,dbt_project.yml,pipeline,dagster,prefect","dags/,models/,pipelines/,notebooks/","architecture,data,infra,testing,dev-setup","test_*.py,*_test.py","dag*.py,pipeline*.py,main.py"
extension,Extension/Plugin,"manifest.json,package.json,.vscodeignore,plugin.json","src/,extension/,content/,background/","architecture,api,testing,dev-setup","*.test.{ts,js}","extension.{ts,js},background.{ts,js},content.{ts,js}"
infra,Infrastructure,"*.tf,pulumi.*,template.yaml,ansible,playbook","modules/,stacks/,roles/,templates/","architecture,infra,dev-setup","*.tftest.*,test_*.py","main.tf,Pulumi.*,template.yaml"
embedded,Embedded System,"platformio.ini,*.ino,CMakeLists.txt,Zephyr,Makefile","src/,include/,drivers/,hal/","architecture,api,testing,dev-setup","test_*.*,*_test.*","main.{c,cpp,ino},app_main.c"
ai-llm,AI/LLM Application,"langchain,llama_index,transformers,openai,anthropic,mcp,autogen,crewai","agents/,chains/,prompts/,tools/,models/,pipelines/","architecture,api,data,infra,testing,dev-setup","test_*.py,*_test.py,*.test.{ts,js}","main.py,app.py,agent.py,chain.py,server.{py,ts,js}"
devops,DevOps/Platform,".github/workflows/,Dockerfile,docker-compose.*,k8s/,helm/,Jenkinsfile,.gitlab-ci.yml","charts/,k8s/,terraform/,ansible/,.github/","architecture,infra,dev-setup","*.tftest.*,test_*.*","Dockerfile,docker-compose.yml,main.tf"
